,datetime_jd,datetime_str,Canberra DSS-43,Parkes,Madrid DSS-63,Lovell,Effelsberg,AVN-Ghana,Goldstone,Green Bank,Very Large Array,Arecibo,FAST,EDSCC,Usuda Deep Space Center 
65,2462240.288,2029-Apr-13 18:55,13.035841309036549,13.033691102628906,12.859780664877926,12.953601945174473,12.846734285749354,12.563825832871386,13.981786772142065,13.760307709366826,13.964933224878093,13.655856920429407,12.62869715887065,13.072325575554798,13.120024039704075
66,2462240.292,2029-Apr-13 19:00,12.810052995059914,12.808463472339827,12.568692671658193,12.667012289189156,12.561127264475644,12.270627318453112,13.713191755889715,13.475941777925604,13.691991855127227,13.365189267171706,12.389834736899925,12.830854239164392,12.883194842108953
67,2462240.295,2029-Apr-13 19:05,12.58147455508726,12.580301337704554,12.283046859405184,12.384875204103128,12.279935155895721,11.984286843904489,13.445855897148686,13.195410715347343,13.42103399919833,13.079891403955566,12.148904787878527,12.586961504981174,12.643346712581543
68,2462240.299,2029-Apr-13 19:10,12.360261850359885,12.3596625938416,11.994912577018884,12.101165172889448,11.997522831537397,11.694770660762353,13.17816777445191,12.91201431253615,13.148920729460919,12.790261430714505,11.91539643025291,12.34949034100691,12.410502983002786
69,2462240.302,2029-Apr-13 19:15,12.136584010732681,12.136409823926863,11.712374318150804,11.822065289644355,11.719653498131642,11.412257020540014,12.91222448188906,12.632872647506519,12.8792744473501,12.506431769503056,11.679897401011,12.109787479985494,12.174858314313985
70,2462240.306,2029-Apr-13 19:20,11.92049698278385,11.920905424314713,11.427847308459027,11.541846700278404,11.441082370248672,11.12722032510516,12.645786597068238,12.350851268719708,12.608342817453387,12.218296581977135,11.452381505171653,11.876817971214528,11.946481004036483
71,2462240.309,2029-Apr-13 19:25,11.702344045987452,11.703182064990902,11.149111706636774,11.266438207539261,11.167226270086465,10.849376949887919,12.381623102062306,12.073541943601214,12.340403466715651,11.936428533854974,11.223023437541594,11.64187279612317,11.715589302731365
72,2462240.313,2029-Apr-13 19:30,11.492024035598359,11.493447734777043,10.868992617687523,10.990458568151375,10.8932845477257,10.56979533497025,12.116858661529786,11.79339682106294,12.071089876328884,11.650353576354735,11.002244975344572,11.413997618212813,11.492245680990019
73,2462240.316,2029-Apr-13 19:35,11.28012059431819,11.281973135744638,10.594917662921803,10.719546355715016,10.62428942641446,10.297661759360626,11.854950940741247,11.518469026557487,11.805344791056141,11.371060146833464,10.779857479887003,11.184480723717463,11.266753753048807
74,2462240.319,2029-Apr-13 19:40,11.071685181448712,11.073963939371904,10.323500583460657,10.451194966589888,10.358044411835257,10.028765828632627,11.594461081440162,11.245024831986507,11.540988333719032,11.093367732296967,10.561271812103659,10.957971675857738,11.04425630146277
