,date,date_jd,ra,dec,lon,lat,lonR,latR
158,2029-Apr-14 02:40,2462240.611111111,209.25699,-28.69205,55.42574633835113,28.074375141261648,-9.222088416973406,28.076580000298065
159,2029-Apr-14 02:45,2462240.614583333,208.92663,-28.53612,55.783908802025465,27.982284615001372,-9.959693846868277,27.984469966028588
160,2029-Apr-14 02:50,2462240.618055556,208.60671,-28.3839,56.131183370982576,27.891944578907772,-10.708188177233069,27.894110038489323
161,2029-Apr-14 02:55,2462240.621527778,208.29673,-28.235290000000003,56.46806349101163,27.80334345170638,-11.46707729379466,27.805488630642515
162,2029-Apr-14 03:00,2462240.625,207.99627,-28.09017,56.79497118406404,27.71643611795669,-12.235939394660534,27.718560618180685
163,2029-Apr-14 03:05,2462240.628472222,207.70488,-27.948429999999995,57.11235692747664,27.63119333311939,-13.014323925804035,27.633296750538882
164,2029-Apr-14 03:10,2462240.631944444,207.42216,-27.80997,57.42062157314443,27.547586999319744,-13.801829963832347,27.549668924021404
165,2029-Apr-14 03:15,2462240.635416667,207.14775,-27.674680000000002,57.720130568795135,27.46557235874473,-14.598092286638177,27.467632373834146
166,2029-Apr-14 03:20,2462240.638888889,206.88129,-27.54247000000001,58.01124583639144,27.38512462351109,-15.402748316852069,27.38716230765114
167,2029-Apr-14 03:25,2462240.642361111,206.62242999999998,-27.41324,58.29432294279777,27.30620774670449,-16.215442714299343,27.30822267390117
168,2029-Apr-14 03:30,2462240.645833333,206.37086,-27.286889999999996,58.56967932367284,27.228778653155715,-17.03585797978144,27.230770392286626
169,2029-Apr-14 03:35,2462240.649305556,206.12626999999998,-27.163350000000005,58.83762630246444,27.152823898938212,-17.863683021580187,27.154792016914527
170,2029-Apr-14 03:40,2462240.652777778,205.8884,-27.042519999999993,59.09843404795216,27.078291746129498,-18.698647024019294,27.080235804643262
171,2029-Apr-14 03:45,2462240.65625,205.65695,-26.924330000000005,59.35240561681006,27.00516737668518,-19.540447162970224,27.007086936721077
172,2029-Apr-14 03:50,2462240.659722222,205.43168,-26.808679999999995,59.59979293664836,26.933395782049168,-20.388831453484215,26.935290400239833
173,2029-Apr-14 03:55,2462240.663194444,205.21235,-26.69552,59.8408369419507,26.862971050361764,-21.24355890621183,26.864840283452548
174,2029-Apr-14 04:00,2462240.666666667,204.99873,-26.584750000000003,60.075780851918324,26.793836648682706,-22.104386539379448,26.79568005016818
175,2029-Apr-14 04:05,2462240.670138889,204.79059,-26.47632,60.30485684342218,26.725985108231743,-22.971081534405528,26.727802232761842
176,2029-Apr-14 04:10,2462240.673611111,204.58773,-26.370140000000003,60.52827733676492,26.659364412080194,-23.843431711693995,26.661154812075356
177,2029-Apr-14 04:15,2462240.677083333,204.38995,-26.266160000000003,60.7462459485376,26.593961793921146,-24.721233403587405,26.595725023113214
178,2029-Apr-14 04:20,2462240.680555556,204.19706,-26.16432,60.95895916428097,26.529752952102097,-25.60429036786877,26.53148856503513
179,2029-Apr-14 04:25,2462240.684027778,204.00889,-26.06454,61.16659874712563,26.466690408639202,-26.49242020375584,26.468397959139498
180,2029-Apr-14 04:30,2462240.6875,203.82527,-25.96677,61.369339885415386,26.404756119669806,-27.385447968707012,26.40643516351101
